id_nasabah,nama,pekerjaan,pendapatan,saldo_tab,saldo_giro,saldo_deposito,kol_1,kol_2,kol_3,kol_4,kol_5,kolslik1,kolslik2,kolslik3,kolslik4,kolslik5,frekdhn,jml_agunan,total_agunan,atm_trx,atm_nom,mobile_trx,mobile_nom,internet_trx,internet_nom,edc_trx,edc_nom,rtgs_trx,rtgs_nom,sknbi_trx,sknbi_nom,bifast_trx,bifast_nom,qris_trx,qris_nom,listrik,pdam,pbb,pkb,postpaid,pulsa,paytv,asuransi,senti_neg,senti_positif,senti_netral,jml_like_1,jml_like_2,jml_like_3,jml_like_4,jml_like_5,jml_like_6,jml_like_7,jml_like_8,jml_like_9,jml_like_10,label
15,mbtII,PENGUSAHA/ WIRASWASTA,5,260000,3500000,6580000,5,5,2,0,0,5,4,3,0,0,8,14,400000000,26,2735943965,1668,662871520,2460,114184154,2252,1444742969,936,2287160708,981,1241469268,2420,1213049468,700,793427081,1000000,400000,500000,400000,1000000,600000,900000,900000,15,92,18,80,96,74,47,18,73,78,28,54,93,Moderate
16,uMMSk,PENGUSAHA/ WIRASWASTA,4,1530000,1550000,1670000,4,4,3,1,0,6,5,1,0,0,8,15,200000000,2436,1922013518,1631,2967878974,537,1230767877,1960,2840188889,1994,260421637,2334,2542520571,2494,1216191082,1072,1223252263,500000,1000000,100000,800000,400000,500000,900000,800000,45,20,88,89,9,90,42,16,26,91,24,25,39,Moderate
17,ZIgjJ,PENYELENGGARA NEGARA ASING,1,550000,920000,7500000,7,5,0,0,0,6,3,3,0,0,7,8,1700000000,1260,747709475,1152,2283261996,2296,249269203,976,47158910,898,571093510,1124,1479893163,965,15716996,1343,2553725649,300000,100000,500000,800000,600000,100000,1000000,600000,5,59,69,49,47,59,83,19,67,3,81,66,11,Moderate
18,nsMiy,PENGURUS PARPOL,7,4870000,3970000,890000,0,0,0,0,0,0,0,0,0,0,2,8,1900000000,450,2518370354,1836,2198439150,1821,2721300038,2469,2138488468,2338,2885257836,1243,1940941239,337,2878191216,1763,930223651,200000,700000,300000,200000,500000,400000,0,1000000,53,59,61,34,89,3,63,0,48,100,9,11,61,Not Potential
19,SOFyf,PNS (TERMASUK PENSIUNAN ),2,4840000,3840000,1110000,0,0,0,0,0,0,0,0,0,0,9,3,1000000000,2463,59902270,1669,1528696667,1567,1313489786,413,2271356847,560,1592895119,1842,1506059643,731,303708273,1967,2502422660,900000,0,800000,200000,900000,100000,500000,1000000,92,39,32,3,54,45,44,88,74,38,76,8,67,Not Potential
20,UdgPc,PENGURUS/PEG.YYS/LEMBAGA LAIN.,6,4160000,3920000,8600000,0,0,0,0,0,0,0,0,0,0,2,15,200000000,1476,442137245,873,2470963089,939,2147147630,433,261153474,2337,2598128208,547,2666128653,1665,1591979073,1085,593060052,500000,400000,400000,500000,400000,500000,900000,100000,85,25,96,82,46,8,94,85,89,82,46,98,53,Not Potential
21,dgTdL,PROFESIONAL & KONSULTAN,4,2630000,680000,590000,5,4,2,1,0,5,3,2,2,0,6,15,0,2171,2090202966,423,175880405,987,1384848481,1098,992388751,398,551627380,1977,1983014878,726,2311144749,540,467030183,100000,100000,1000000,700000,700000,1000000,100000,700000,21,65,74,8,51,99,100,32,88,31,36,28,57,Moderate
22,ZaOgV,PERUSAHAAN PEMERINTAH,2,3450000,1930000,8950000,0,0,0,0,0,0,0,0,0,0,7,1,400000000,1283,927265954,1320,1320750549,1360,732756298,391,801651451,982,981078240,412,153580426,1606,2457556216,789,2046359520,200000,700000,1000000,600000,600000,900000,300000,400000,57,11,17,63,64,58,52,10,41,25,13,64,58,Not Potential
23,SxaDF,PARPOL,7,2130000,3530000,4030000,6,5,1,0,0,7,3,2,0,0,7,6,100000000,509,1104820586,701,949825662,2165,2405495250,2163,1561963151,1849,1759629810,739,1418759444,453,2953368733,478,2036742165,400000,900000,700000,0,0,500000,700000,100000,53,12,7,5,47,51,70,41,77,64,30,29,24,Moderate
24,Xdbhn,PETANI & NELAYAN,5,3460000,2290000,370000,0,0,0,0,0,0,0,0,0,0,2,19,700000000,1335,989085339,500,1606996195,2201,854967627,1467,1585709245,1669,522439341,503,1457554352,85,2101490941,27,1325454422,600000,300000,800000,600000,300000,800000,800000,400000,8,61,67,73,97,5,67,24,44,84,32,53,92,Not Potential
25,inkjx,PARPOL,6,350000,930000,760000,8,4,0,0,0,6,5,1,0,0,2,17,1100000000,853,127960880,2081,1926725923,1834,1154158901,1925,2961709064,1392,2880568228,454,811899180,728,1691229613,15,2878841274,500000,1000000,900000,500000,300000,300000,700000,0,0,49,76,33,61,94,4,92,50,7,25,20,100,Moderate
26,PnzOg,LAIN-LAIN,3,760000,3470000,2640000,8,4,0,0,0,6,5,1,0,0,8,6,400000000,777,2544109949,1248,2081999480,1661,1302286913,867,543407873,89,2957675160,1117,2144069190,2429,2427817947,1390,1291810437,500000,600000,500000,200000,0,1000000,600000,0,62,62,59,15,92,48,23,54,95,99,39,49,64,Moderate
27,BELpp,PEGAWAI BANK,5,1790000,1350000,7810000,5,5,2,0,0,5,5,2,0,0,7,14,1500000000,1307,600043489,1813,1175686789,455,1425509744,201,1520926752,64,1359390586,1353,1713155015,2337,1649791282,1534,765882384,800000,700000,300000,0,500000,400000,500000,200000,89,86,34,12,23,11,96,74,35,76,3,75,4,Moderate
28,OdfCD,PENGAJAR & DOSEN,4,1380000,3670000,6800000,7,3,1,1,0,4,4,4,0,0,12,9,1600000000,2062,2632515717,1558,2275903229,104,1077991455,795,2717656220,1414,2092079967,1857,2926892518,1612,2663520886,731,691100748,300000,600000,500000,1000000,900000,500000,900000,800000,55,39,55,98,77,34,88,2,84,22,99,87,79,Moderate
29,FvtHl,JAKSA AGUNG,2,3980000,2590000,8470000,0,0,0,0,0,0,0,0,0,0,4,1,1400000000,2215,457984407,1236,2614222624,1003,1878190433,2342,1645248207,1209,211112164,2015,1683708924,1542,1666820417,2345,1706893722,200000,200000,800000,600000,200000,200000,700000,700000,45,17,100,13,91,83,77,77,91,9,94,6,28,Not Potential
30,YBgxj,PERUSAHAAN SWASTA ASING,1,1040000,3120000,4630000,5,4,2,1,0,4,4,3,1,0,2,18,500000000,97,2800048658,2320,1804120360,558,1986639430,819,2021366752,895,254307066,1135,2650672100,2012,1481966179,1842,1168795462,300000,200000,700000,1000000,300000,500000,600000,500000,12,84,15,72,40,38,27,2,82,86,67,33,63,Moderate
31,LvCrv,IBU RUMAH TANGGA,3,2180000,2470000,2080000,6,5,1,0,0,6,3,3,0,0,2,5,600000000,1177,2182273768,187,919969121,1461,2958334156,1180,2926468220,2331,2580423996,913,874370496,1941,2146803558,1836,890684975,700000,700000,1000000,200000,0,100000,0,500000,91,100,71,61,78,97,5,73,82,78,46,87,41,Moderate
32,vpYvn,PENGURUS/PEG.YYS/LEMBAGA LAIN.,1,1180000,3100000,2490000,7,4,1,0,0,8,2,2,0,0,9,10,500000000,153,905437145,313,38687939,838,1499705173,1738,42187642,2040,706118428,809,2890707197,703,1608032143,1456,714132128,100000,300000,900000,700000,700000,800000,500000,0,56,47,74,14,51,18,57,47,96,47,67,15,17,Moderate
33,iYylh,PENGAJAR & DOSEN,1,3480000,3430000,7210000,0,0,0,0,0,0,0,0,0,0,1,12,200000000,1172,547269059,2085,1666851071,1228,1139179155,1415,561743274,404,738894145,2414,1524138390,1333,2828328390,1239,2298943925,800000,100000,800000,900000,400000,600000,700000,1000000,4,74,17,37,39,90,49,71,43,65,57,63,83,Not Potential
34,VsAIT,PENGURUS PARPOL,4,3050000,2910000,9360000,0,0,0,0,0,0,0,0,0,0,7,9,200000000,991,381421887,257,93237224,1261,216244396,1557,2478171430,253,602125661,2258,1345590006,1940,951876877,1997,368854238,100000,1000000,100000,1000000,0,900000,0,0,98,92,28,3,32,23,3,11,96,81,74,32,85,Not Potential
35,gixrx,ULAMA/PENDETA/PIM.ORG/KL.AGAMA,6,4850000,2600000,9730000,0,0,0,0,0,0,0,0,0,0,12,20,800000000,1955,1583155683,152,1501620971,2053,1693456683,413,2193539041,1030,262214625,2343,2394463007,1972,924666348,1210,114706212,600000,900000,300000,900000,0,100000,300000,1000000,0,91,93,43,93,14,84,60,88,35,62,53,32,Not Potential
36,mQtKr,PERUSAHAAN SWASTA,6,4770000,2160000,9580000,0,0,0,0,0,0,0,0,0,0,11,20,800000000,2189,168771223,2085,703157986,1214,1671282155,2478,2214829071,2481,1648826454,2066,2291687252,460,1624150808,570,2137260509,1000000,800000,300000,300000,700000,0,300000,1000000,86,30,90,3,66,59,42,0,55,18,50,35,85,Not Potential
37,KLoqO,PERUSAHAAN SWASTA,6,130000,300000,7090000,4,3,3,2,0,6,3,2,1,0,8,19,300000000,335,2711831046,415,27699526,37,220483142,818,878848897,747,2147920334,749,907493857,821,59224704,2254,1951238156,1000000,700000,600000,400000,400000,300000,900000,700000,46,82,56,51,39,47,56,91,26,80,62,85,81,Moderate
38,CtIvN,PERUSAHAAN PEMERINTAH,7,550000,1950000,2920000,8,3,1,0,0,5,3,2,2,0,8,1,1300000000,639,2013775439,1888,2333601931,992,335882596,2480,852608605,1084,2744033145,513,1601378846,2127,359159864,1303,407904014,1000000,800000,200000,400000,500000,900000,900000,400000,34,49,54,86,10,54,52,63,81,59,87,80,37,Moderate
39,sHSAH,PEGAWAI BANK,1,60000,540000,2920000,7,2,2,1,0,7,5,0,0,0,0,5,1000000000,756,1337365276,1674,2937843846,1486,1654221353,1984,68361274,2284,672810060,1609,1315268806,533,786827872,1605,1651662459,700000,100000,200000,500000,200000,700000,900000,0,91,35,22,21,50,80,10,50,76,9,26,75,17,Moderate
40,rkNqb,PETANI & NELAYAN,1,4950000,430000,2570000,0,0,0,0,0,0,0,0,0,0,4,17,400000000,1976,422387737,2058,1984433164,1882,2133576669,1080,1725454728,272,1379878886,2022,2895920235,2206,777630795,2160,2267400936,200000,400000,100000,200000,0,400000,300000,700000,14,61,83,41,60,82,97,75,15,89,83,2,40,Not Potential
41,oCyqH,ULAMA/PENDETA/PIM.ORG/KL.AGAMA,6,3360000,2700000,1500000,0,0,0,0,0,0,0,0,0,0,1,13,1100000000,367,1063292454,915,2500963327,1171,423206089,256,1167840958,1356,2335302937,1054,883568600,1029,1396594781,2233,2802166060,200000,300000,700000,700000,500000,300000,300000,400000,94,3,87,96,54,49,55,18,3,94,29,65,68,Not Potential
42,SphDc,PERUSAHAAN PEMERINTAH,4,2410000,280000,3250000,4,4,3,1,0,6,6,0,0,0,7,10,1600000000,567,895532397,1936,602952992,642,1955310350,2278,1128623129,570,2786993967,505,1410221909,2252,1444648201,1241,2017512865,500000,100000,1000000,1000000,0,1000000,200000,900000,40,56,68,82,72,69,52,57,73,8,28,9,75,Moderate
43,ivCsV,PNS (TERMASUK PENSIUNAN ),7,4780000,3940000,5650000,0,0,0,0,0,0,0,0,0,0,11,14,1600000000,725,871270074,1043,597194281,153,1713499005,1640,1494869860,845,1130562181,901,2309080977,940,2831642077,1806,2015514875,100000,1000000,300000,100000,300000,500000,800000,100000,67,0,31,21,95,91,14,82,31,72,23,7,100,Not Potential
44,fAhBp,PEJABAT LEMB.EKS.& PEMERINTAH,3,320000,1280000,2790000,7,4,1,0,0,6,3,3,0,0,3,0,1100000000,1646,1489919475,1913,200990550,187,2743962713,612,819226055,1259,476886029,2001,584623364,2446,2980790599,252,2110692347,800000,900000,0,200000,100000,500000,300000,200000,46,65,88,27,28,13,96,90,41,4,91,36,0,Moderate
45,ScbtR,ULAMA/PENDETA/PIM.ORG/KL.AGAMA,5,1540000,2150000,5250000,6,4,2,0,0,6,3,2,1,0,12,0,1800000000,159,843087957,77,283626976,145,1401703684,1067,1169310216,1552,2899377959,1588,1980028035,1739,1575317240,959,502377528,100000,900000,500000,600000,400000,400000,500000,900000,0,97,51,69,31,38,44,52,14,26,32,35,63,Moderate
46,dzzvO,PEGAWAI BANK,1,3600000,1630000,5320000,0,0,0,0,0,0,0,0,0,0,4,18,400000000,63,2834632545,1611,208010624,2404,2039227304,846,1845428284,864,301776439,665,2308526911,28,1911763866,1551,632761903,700000,1000000,400000,200000,500000,400000,800000,0,25,68,3,68,16,3,65,42,92,7,5,66,76,Not Potential
47,wkIQD,PELAJAR/MAHASISWA,2,2120000,3630000,5400000,5,4,3,0,0,4,3,3,2,0,4,9,700000000,2236,475437675,2284,2063292816,205,364769179,1544,2326285835,352,1337818142,146,2835996478,802,1950760658,1930,2315372394,300000,600000,800000,1000000,1000000,700000,800000,500000,3,81,39,90,19,46,36,18,16,68,31,32,59,Moderate
48,zbjCh,PEGAWAI BI/BUMN/BUMD(PENSIUN),3,180000,800000,3790000,8,4,0,0,0,5,4,2,1,0,7,2,1800000000,665,2066702674,274,2525698686,993,2636234966,96,2412360804,796,990807309,397,2758333019,1881,51724554,1453,246711378,900000,300000,600000,1000000,300000,500000,0,200000,87,24,81,6,35,17,45,34,75,36,71,66,37,Moderate
49,CQMNO,PENYELENGGARA NEGARA ASING,6,4730000,2030000,4900000,0,0,0,0,0,0,0,0,0,0,7,16,500000000,2330,2765427104,751,1623286985,287,1790716070,957,2487336864,1336,1057038578,1480,2457196456,1580,1867381272,1861,463880058,500000,200000,900000,100000,700000,1000000,600000,800000,16,45,65,57,22,34,35,25,66,59,25,42,98,Not Potential
50,NFthM,PENGURUS/PEG.YYS/LEMBAGA LAIN.,1,1060000,3090000,8380000,6,3,2,1,0,5,4,3,0,0,12,7,300000000,1677,1694053689,1668,1031330961,1346,2884746187,2423,2647691936,1877,1407333729,1731,2232152016,527,2370821145,1494,1378997051,700000,100000,400000,200000,600000,300000,600000,500000,28,11,75,66,0,26,20,98,88,75,39,69,76,Moderate
51,jrMux,JAKSA AGUNG,7,4830000,1840000,60000,0,0,0,0,0,0,0,0,0,0,10,17,1900000000,497,308956038,368,286928056,576,2667867990,1135,2523715633,1072,2765303946,1237,1811474028,822,2888297786,2418,2766955703,500000,100000,800000,700000,900000,0,600000,900000,42,69,47,55,79,79,16,4,64,66,73,92,28,Not Potential
52,KyixU,LAIN-LAIN,5,2760000,3370000,5440000,6,5,1,0,0,5,5,2,0,0,3,12,0,707,2548562562,2473,2219477786,367,1694994387,2270,2561865159,2093,1411254618,1843,1618270285,1475,820127282,1613,2386449361,200000,0,700000,0,1000000,400000,400000,100000,54,8,77,83,76,4,15,31,93,65,55,0,3,Moderate
53,IXoXi,PENGURUS/PEG.YYS/LEMBAGA LAIN.,6,4320000,1640000,2800000,0,0,0,0,0,0,0,0,0,0,8,11,300000000,207,1889841065,1140,2145978694,905,625213734,853,1366464192,750,1557638568,1328,2977941101,710,62021271,1356,231108498,700000,400000,1000000,700000,200000,500000,700000,100000,61,60,3,30,10,21,70,59,43,5,37,53,62,Not Potential
54,DzZeA,PERUSAHAAN SWASTA,5,400000,1430000,4400000,6,5,1,0,0,7,5,0,0,0,11,16,800000000,2432,1020033006,1848,163606657,877,2268717531,28,2654815826,697,2685684066,1718,2384637606,1131,1294347240,2128,2380725864,600000,700000,100000,300000,900000,400000,1000000,200000,31,86,93,43,60,45,5,42,20,11,93,51,66,Moderate
55,NdCpY,ULAMA/PENDETA/PIM.ORG/KL.AGAMA,7,900000,520000,3900000,8,3,1,0,0,5,3,2,2,0,12,10,200000000,1649,600865294,107,1027749601,500,2320688411,1105,1069653570,1449,1478440284,721,2823220686,717,1207675670,567,358502152,600000,200000,600000,400000,1000000,200000,800000,700000,34,19,39,36,95,48,62,34,91,35,71,65,42,Moderate
56,DkFIC,KELUARGA PEJABAT,6,1080000,3420000,8470000,6,5,1,0,0,5,4,3,0,0,2,20,200000000,1167,2750380597,1358,518047820,371,262528399,1856,2517466005,1013,1082416950,29,2405751109,1328,1368951484,688,1146241995,300000,800000,700000,1000000,300000,400000,600000,300000,72,89,9,73,58,90,68,22,55,20,24,15,38,Moderate
57,sAJCn,PEGAWAI MONER CHANGER,2,3740000,130000,640000,0,0,0,0,0,0,0,0,0,0,2,7,800000000,897,2995215636,49,659774850,1715,2948135375,1964,1980487434,60,424115846,627,1044635849,2256,1245658834,460,304292685,900000,200000,300000,900000,300000,900000,500000,800000,94,69,71,54,92,29,68,54,49,29,11,23,62,Not Potential
58,WDeCV,PARPOL,4,840000,1030000,9640000,4,4,3,1,0,5,3,3,1,0,2,17,400000000,479,1421521711,865,406056648,1108,1693118210,1819,929097334,2436,181692390,416,2098774345,2465,1837870780,1030,1976783418,700000,1000000,700000,400000,900000,400000,200000,0,4,14,96,45,93,70,76,3,91,8,41,54,41,Moderate
59,qIpAD,IBU RUMAH TANGGA,5,1710000,2460000,9110000,5,4,3,0,0,5,5,2,0,0,1,5,300000000,1045,1383871064,1578,2725438587,918,22926877,596,1986717348,787,1392734524,1520,2447319809,1241,710173886,1370,2942635302,800000,900000,800000,700000,900000,600000,1000000,900000,2,28,1,77,61,21,68,86,80,81,58,41,61,Moderate
60,VEPqC,PERUSAHAAN SWASTA,3,4970000,780000,2610000,0,0,0,0,0,0,0,0,0,0,6,2,700000000,1921,2983172388,423,1136107739,86,2715053428,2135,1511996098,1845,2456865101,1105,1355325655,1454,2625710019,265,2318040815,600000,300000,300000,200000,900000,600000,500000,700000,8,16,30,64,5,61,2,76,52,90,35,99,22,Not Potential
61,nvzUK,PENYELENGGARA NEGARA ASING,5,2790000,630000,4990000,4,3,2,2,1,4,3,3,2,0,3,13,1200000000,2498,1903988553,1242,2100321092,578,2000448977,1346,1649654182,287,2121224443,1212,2164020804,1418,2895617158,1212,2753814012,800000,1000000,500000,100000,300000,0,700000,500000,82,38,68,41,17,3,44,80,25,23,94,23,48,Moderate
62,otyFj,PEGAWAI BI/BUMN/BUMD(PENSIUN),6,4660000,3140000,3430000,0,0,0,0,0,0,0,0,0,0,10,1,100000000,460,1519937082,876,1571835018,682,2591080251,126,2241621075,485,1440702527,2380,751356353,2357,2206027607,1779,1098022443,100000,800000,400000,600000,500000,100000,600000,0,43,18,69,11,28,70,52,77,96,70,75,69,74,Not Potential
63,Glwvf,PERUSAHAAN SWASTA,5,520000,3640000,5720000,6,3,3,0,0,6,3,3,0,0,10,8,100000000,1238,2834519376,703,734584883,932,2246667542,455,2681495916,2140,1073233291,143,2825353557,1359,1920160807,1637,2788277005,400000,0,0,600000,0,800000,200000,200000,50,94,92,71,67,87,76,55,19,64,25,48,61,Moderate
64,OSGFI,IBU RUMAH TANGGA,4,1880000,400000,1760000,7,4,1,0,0,5,4,2,1,0,8,8,600000000,329,1392727512,1632,2797161079,1235,2391033081,1076,2264407339,353,185050740,428,1307998446,1886,2971595056,619,348458616,400000,100000,1000000,1000000,100000,600000,700000,1000000,84,48,16,96,67,16,31,11,43,6,86,56,12,Moderate
65,lQMsa,PENGUSAHA/ WIRASWASTA,7,1710000,2020000,9090000,3,3,3,3,0,6,4,2,0,0,11,0,1900000000,155,1163777090,1906,2418319635,1348,2311744196,314,772280605,821,320445235,611,2730416192,1925,164934882,81,2017778409,700000,600000,800000,700000,200000,100000,400000,300000,59,100,40,95,12,15,47,94,87,37,61,14,53,Moderate
66,LDUiw,IBU RUMAH TANGGA,1,1030000,2690000,5330000,6,5,1,0,0,5,4,2,1,0,7,7,1400000000,2424,1962474954,2367,885892844,378,2053730938,366,2258276420,2470,1630950651,616,2994377451,226,1965478971,1722,366080900,300000,700000,500000,100000,500000,400000,700000,0,31,54,33,91,46,33,51,81,34,9,56,25,73,Moderate
67,lBnQi,PEDAGANG,5,2530000,2580000,2890000,7,3,2,0,0,4,3,3,2,0,1,11,300000000,1550,718925873,1307,2944175437,527,1754991713,1106,2196718219,918,663852625,2292,2822027355,501,1454225389,2201,1543646553,600000,700000,100000,0,800000,600000,600000,0,56,36,36,79,25,75,10,70,36,92,30,71,32,Moderate
68,bYwlt,PNS (TERMASUK PENSIUNAN ),4,3660000,330000,7800000,0,0,0,0,0,0,0,0,0,0,5,6,0,2394,2683860039,2213,1701744051,237,1141195782,620,2731132121,278,617791516,757,2009341714,194,896625598,1486,2748875704,200000,1000000,200000,600000,800000,1000000,200000,100000,98,36,15,39,81,2,7,98,11,1,35,85,52,Not Potential
69,gtDzt,PENGURUS PARPOL,2,3120000,260000,2800000,0,0,0,0,0,0,0,0,0,0,5,13,1300000000,642,288010766,420,1235444784,1746,2525223508,2270,2474850428,2121,1648080464,430,58405074,2222,41216517,259,2984989970,500000,100000,900000,900000,700000,100000,200000,300000,12,78,16,52,40,77,51,64,0,18,74,84,7,Not Potential
70,GynRM,KELUARGA PEJABAT,6,2380000,3940000,1830000,6,6,0,0,0,5,4,3,0,0,1,14,2000000000,1094,2211166161,914,1806688832,1467,65278963,2117,2694049918,2187,2743181169,1454,1287666895,1267,1657616907,1226,1259482478,100000,900000,300000,400000,1000000,400000,1000000,500000,78,94,22,51,56,18,84,14,30,56,4,70,43,Moderate
71,zvrde,PEGAWAI BI/BUMN/BUMD(PENSIUN),7,860000,1650000,5520000,5,4,3,0,0,7,2,2,1,0,6,2,900000000,581,141521500,1120,1894007921,513,2937796436,1285,2388440058,1182,2122634027,2407,1339116136,784,727709566,871,2617408534,300000,1000000,500000,300000,900000,800000,600000,800000,12,10,41,14,50,4,79,48,10,61,67,20,68,Moderate
72,VDSdQ,PERUSAHAAN SWASTA,5,1940000,3750000,7640000,3,3,3,3,0,5,5,2,0,0,4,15,100000000,321,1569236644,1895,2417984409,1943,1920080463,686,1272060507,2473,72007336,585,1387039841,1584,2179843258,355,2051286184,500000,800000,400000,400000,400000,1000000,100000,900000,92,98,73,7,54,19,72,57,26,56,90,25,5,Moderate
73,tkNMJ,KELUARGA PEJABAT,1,650000,2010000,7920000,6,4,2,0,0,7,3,2,0,0,12,3,1700000000,1156,463670741,492,2773989758,391,2265139491,2232,2826547007,837,2205437223,50,1062874942,170,824301485,914,105140914,600000,300000,600000,900000,300000,200000,100000,400000,32,47,21,96,86,24,79,31,85,82,53,74,44,Moderate
