id_AO,nama,masa_kerja,range_pendapatan,kol1,nom_kol1,kol2,nom_kol2,kol3,nom_kol3,kol4,nom_kol4,kol5,nom_kol5,senti_neg,senti_positif,senti_netral,jml_like_1,jml_like_2,jml_like_3,jml_like_4,jml_like_5,jml_like_6,jml_like_7,jml_like_8,jml_like_9,jml_like_10
65,CvNjN,4,2,55,550000000,29,290000000,16,160000000,0,0,0,0,1,49,38,32,87,46,52,6,18,99,4,8,11
66,miEqV,1,3,38,380000000,34,340000000,28,280000000,0,0,0,0,14,85,79,73,50,27,26,4,69,90,57,14,10
67,ZKIno,1,1,51,510000000,45,450000000,4,40000000,0,0,0,0,83,61,79,23,29,22,73,19,14,59,34,22,8
68,kplpo,3,3,46,460000000,30,300000000,19,190000000,5,50000000,0,0,52,28,86,38,31,92,99,49,2,38,60,15,53
69,PVEFA,1,1,58,580000000,33,330000000,9,90000000,0,0,0,0,44,41,48,17,47,53,49,32,13,42,75,82,79
70,baEXM,2,2,56,560000000,18,180000000,17,170000000,9,90000000,0,0,42,66,90,99,32,23,30,44,93,50,13,40,58
71,aqmSd,3,2,73,730000000,20,200000000,7,70000000,0,0,0,0,48,3,49,8,23,90,23,14,42,17,8,57,88
72,XRLvs,4,3,47,470000000,45,450000000,8,80000000,0,0,0,0,38,5,94,14,57,54,11,12,82,90,71,78,99
73,mHoRh,4,3,43,430000000,32,320000000,25,250000000,0,0,0,0,29,15,68,6,94,26,85,97,6,83,11,60,23
74,xRIhA,3,3,43,430000000,35,350000000,22,220000000,0,0,0,0,81,95,18,21,95,1,86,42,55,72,34,40,58
75,isBUx,4,1,42,420000000,33,330000000,25,250000000,0,0,0,0,58,10,43,89,3,57,37,17,58,41,50,99,15
76,cbSHc,3,1,63,630000000,37,370000000,0,0,0,0,0,0,19,23,26,22,4,92,49,35,84,98,87,46,1
77,rpzlA,1,3,59,590000000,39,390000000,2,20000000,0,0,0,0,20,41,2,98,26,68,63,60,79,96,19,76,41
78,TjtdT,1,1,44,440000000,30,300000000,26,260000000,0,0,0,0,37,57,81,26,46,24,91,28,11,0,38,2,42
79,SHZRm,4,2,32,320000000,31,310000000,21,210000000,16,160000000,0,0,21,37,12,40,22,99,0,77,28,24,62,71,48
80,tERFe,4,2,64,640000000,25,250000000,11,110000000,0,0,0,0,47,23,89,16,22,99,72,48,98,83,40,59,58
81,tSuyd,3,1,51,510000000,26,260000000,12,120000000,11,110000000,0,0,74,37,33,63,31,96,38,66,32,46,30,71,16
82,RoHMU,2,1,36,360000000,26,260000000,20,200000000,12,120000000,6,60000000,21,70,98,71,79,54,62,84,31,43,97,71,7
83,ztZkx,3,3,56,560000000,37,370000000,7,70000000,0,0,0,0,36,97,94,3,67,55,60,39,22,60,16,93,63
84,VTVdq,1,2,42,420000000,27,270000000,26,260000000,5,50000000,0,0,0,89,97,63,36,82,77,81,36,24,56,53,34
85,TXXZN,4,3,42,420000000,37,370000000,20,200000000,1,10000000,0,0,42,78,73,45,67,4,100,25,12,65,7,2,79
86,bOaCb,3,2,56,560000000,30,300000000,14,140000000,0,0,0,0,33,76,29,56,39,96,94,86,79,99,0,21,95
87,YhOfd,4,1,49,490000000,44,440000000,7,70000000,0,0,0,0,83,84,60,20,82,57,89,40,61,75,54,15,35
88,XCNoX,2,3,39,390000000,38,380000000,19,190000000,4,40000000,0,0,68,37,65,22,85,54,98,15,59,55,50,73,70
89,LFNIM,4,1,59,590000000,41,410000000,0,0,0,0,0,0,87,76,94,77,87,85,24,9,33,74,62,2,56
90,aXibs,4,3,42,420000000,34,340000000,24,240000000,0,0,0,0,29,48,97,61,87,81,34,94,74,33,4,90,90
91,WmxYB,2,3,45,450000000,34,340000000,12,120000000,9,90000000,0,0,50,37,89,64,49,35,46,46,18,30,61,41,66
92,FUnMB,3,3,72,720000000,28,280000000,0,0,0,0,0,0,90,74,38,44,5,54,76,75,5,77,82,83,82
93,lkBFL,3,2,63,630000000,30,300000000,7,70000000,0,0,0,0,41,50,33,56,21,51,19,61,60,63,46,79,22
94,hiUet,1,1,36,360000000,32,320000000,32,320000000,0,0,0,0,5,41,98,59,5,99,90,72,36,83,47,52,75
95,dXDGH,1,3,68,680000000,23,230000000,9,90000000,0,0,0,0,80,56,54,32,70,76,77,30,69,5,22,27,63
96,ddNZs,2,2,41,410000000,32,320000000,27,270000000,0,0,0,0,65,91,7,67,9,59,77,39,12,70,62,34,35
97,eQgJr,4,3,54,540000000,27,270000000,19,190000000,0,0,0,0,44,63,73,81,16,76,75,70,32,82,8,57,83
98,ZufyS,1,2,59,590000000,26,260000000,11,110000000,4,40000000,0,0,16,94,75,89,67,100,9,71,90,100,16,34,81
99,JMPGk,3,1,32,320000000,30,300000000,25,250000000,13,130000000,0,0,55,67,76,37,81,18,27,23,39,12,81,61,46
100,BNwuk,4,3,48,480000000,24,240000000,22,220000000,6,60000000,0,0,85,63,89,71,86,19,55,62,88,17,40,71,11
