id_nasabah,nama,pekerjaan,pendapatan,umur,pendapatan,saldo_tab,saldo_giro,saldo_deposito,kol_1,kol_2,kol_3,kol_4,kol_5,atm_trx,atm_nom,mobile_trx,mobile_nom,internet_trx,internet_nom,edc_trx,edc_nom,rtgs_trx,rtgs_nom,sknbi_trx,sknbi_nom,bifast_trx,bifast_nom,qris_trx,qris_nom,senti_neg,senti_positif,senti_netral,jml_like_1,jml_like_2,jml_like_3,jml_like_4,jml_like_5,jml_like_6,jml_like_7,jml_like_8,jml_like_9,jml_like_10,label
11,tsOzu,PENGAJAR & DOSEN,6,23,6,3300000,350000,2550000,0,0,0,0,0,618,2554978766,1612,300658557,1163,20949090,953,587466683,2156,2960177065,290,2008154397,1101,1816975518,223,1055578122,66,46,60,17,67,92,10,77,67,22,37,93,66,Not Potential
12,JptsL,PARPOL,5,29,5,2550000,960000,170000,6,5,1,0,0,2112,2174168164,2054,2410759968,1358,1283796663,1765,1515795600,1299,1474740412,627,1752454540,1624,589805944,404,2069432055,41,4,0,91,19,18,1,22,99,71,79,67,14,Moderate
13,yJDuA,PEGAWAI BI/BUMN/BUMD(PENSIUN),2,28,2,3300000,3690000,6960000,0,0,0,0,0,285,842409385,153,1062726414,1329,1159960694,417,19834667,2160,704167721,666,1031377690,1628,1762923304,46,1257646484,47,1,44,89,39,27,65,87,14,62,87,5,75,Not Potential
14,qsccj,KELUARGA PEJABAT,6,29,6,590000,3730000,530000,4,4,3,1,0,952,1767008157,521,1028937895,1229,2206724519,674,747979582,1717,1811680808,1366,639550608,1231,2543184980,612,2420167766,97,27,36,26,14,39,33,22,95,89,71,67,83,Moderate
15,ysRMS,JAKSA AGUNG,6,16,6,2620000,900000,8840000,6,6,0,0,0,1824,1516836949,1235,1614968292,2074,468527490,240,2531860875,1912,888372876,60,1633040273,607,1956021966,1617,621566044,55,22,48,37,10,35,14,37,98,67,92,70,65,Moderate
16,HojdR,PENGURUS PARPOL,1,50,1,520000,1700000,4810000,6,3,2,1,0,2373,1663684796,1224,1210845405,446,906704321,1517,933183854,1093,2401182986,1929,2521957586,733,1208969272,1675,786848956,87,46,28,42,90,44,82,57,53,16,56,12,26,Moderate
17,ylctf,JAKSA AGUNG,2,12,2,3430000,2170000,7900000,0,0,0,0,0,1783,402873543,2197,2238928422,2198,2120201298,1434,1166451940,263,1222653232,336,1365203636,1448,2339093202,196,2059780608,41,2,59,37,70,55,25,56,26,81,50,98,9,Potential
18,Bmito,PEJABAT LEMB.EKS.& PEMERINTAH,7,38,7,3890000,1350000,140000,0,0,0,0,0,1888,148500018,816,444638321,2038,1694937028,1262,832581005,186,380236013,2441,2618605607,1598,2214270830,1948,38759733,81,24,84,30,59,10,56,57,43,90,13,93,64,Potential
19,qAOng,ULAMA/PENDETA/PIM.ORG/KL.AGAMA,4,21,4,4850000,540000,970000,0,0,0,0,0,1446,2923691944,308,2580569198,824,653123870,2184,907512392,983,925697927,1412,1734187649,1304,2616757067,775,1725840605,69,62,47,65,12,30,56,37,98,68,27,40,31,Potential
20,GWVlK,PEJABAT LEMB.EKS.& PEMERINTAH,4,19,4,1490000,2140000,9280000,10,1,1,0,0,867,594001074,1029,2467853795,2122,1767674264,1663,258605686,2248,2866083913,386,45359030,1439,1785917722,1548,1537294906,51,79,97,65,73,89,44,91,60,61,17,11,41,Moderate
21,TugNI,LAIN-LAIN,4,8,4,1290000,1260000,9710000,8,3,1,0,0,2278,1057806967,1755,1282727783,386,2925514037,2139,2565805540,866,1870091648,2121,2307601338,1867,2856885462,1661,1135473352,49,33,86,80,13,19,77,85,60,17,72,14,29,Moderate
22,Ydcit,IBU RUMAH TANGGA,1,25,1,1370000,3450000,4950000,6,5,1,0,0,2304,1832043028,2292,2480045118,2213,16345523,1782,461623015,2119,2584817692,908,1894281654,1586,1044493914,722,2245289115,70,13,62,19,36,55,7,50,48,93,54,93,13,Moderate
23,yzOKr,PEGAWAI MONER CHANGER,4,24,4,1480000,1230000,4440000,6,3,3,0,0,1644,965686764,2168,1894069573,1821,1731814477,292,737978450,707,1512462415,359,1306220503,2370,252329835,1104,1359607763,98,85,69,45,42,24,20,73,11,42,79,46,86,Moderate
24,tZNcg,PERUSAHAAN SWASTA,4,12,4,3470000,2950000,3610000,0,0,0,0,0,1315,134872037,1729,1198171281,286,2036940541,904,468243770,1011,1548658761,1182,500072779,1247,107617926,684,1771148629,87,81,45,22,94,28,19,97,5,86,83,23,61,Not Potential
25,ugByd,TNI/POLRI (TERMASUK PENSIUNAN),1,13,1,200000,2620000,5550000,5,4,3,0,0,2488,1547274423,2387,2778289101,1392,1862210433,320,1762397401,447,1793958876,1100,1838922981,2269,1120038516,71,2220533030,3,70,2,28,2,43,36,2,25,46,16,20,19,Moderate
26,vGjfq,"BURUH,PRT & TENAGA KEAMANAN",5,32,5,4880000,2290000,2300000,0,0,0,0,0,1219,2322764743,189,2204517190,1267,930597050,1861,2464559805,1891,747201321,597,1721177930,1972,37191809,452,2535311722,22,12,71,11,16,44,30,85,17,41,42,87,96,Not Potential
27,TTiQO,PNS (TERMASUK PENSIUNAN ),6,21,6,80000,3750000,4920000,6,3,2,1,0,548,939143368,2361,1276717612,2077,984777356,2383,1553738051,1071,1915948552,2500,1427550209,541,1162156514,1470,1487711539,39,3,49,11,52,85,61,58,59,42,45,69,75,Moderate
28,WhUPQ,PEJABAT LEMB.EKS.& PEMERINTAH,7,43,7,2640000,3350000,10000000,6,4,1,1,0,264,2083147535,1697,918840687,1799,314415385,766,481302562,45,115333946,1500,1578157025,523,1278949868,2215,600685444,89,72,85,62,71,73,49,29,34,16,71,0,30,Moderate
29,oasKB,PENYELENGGARA NEGARA ASING,1,35,1,1830000,3460000,2390000,5,4,3,0,0,574,343959836,1596,2644651453,1315,2039703533,1138,2118681903,2319,2818706804,2067,2784997437,1577,681795467,986,922532239,18,8,25,82,0,69,27,8,47,23,8,24,53,Moderate
30,rxZAm,LAIN-LAIN,5,7,5,3630000,1680000,870000,0,0,0,0,0,2283,968165065,580,2838924494,954,1820533011,1636,773441967,1181,640354862,939,931903914,2134,2827806895,258,1951570428,92,79,37,66,96,45,45,83,77,63,65,9,11,Not Potential
31,zudnh,PENGURUS PARPOL,3,50,3,570000,690000,8040000,6,5,1,0,0,2049,2956510169,1256,579865805,602,961604072,2356,540070884,1773,222594061,391,1135874679,1128,2117676587,294,2750164194,13,80,83,64,80,95,33,100,73,56,24,46,6,Moderate
32,dbtdO,PERUSAHAAN SWASTA,7,14,7,810000,560000,2820000,7,5,0,0,0,684,1192294024,1964,1383736881,1388,992446302,1368,415001618,1174,560388736,309,83473928,1153,921817458,287,409584420,51,85,18,40,13,19,64,58,45,97,93,40,96,Moderate
33,ZygGk,ULAMA/PENDETA/PIM.ORG/KL.AGAMA,3,47,3,4830000,3290000,9460000,0,0,0,0,0,2009,1875313425,1222,122072889,1650,2621645498,1846,2227699052,1659,811003741,2025,1836879731,2402,2989996740,1920,1314523116,100,75,54,87,22,5,69,51,94,13,77,30,25,Not Potential
34,OkCTI,PROFESIONAL & KONSULTAN,3,43,3,1160000,2040000,1530000,7,3,2,0,0,1405,2725844395,1389,1500080369,779,647935603,928,1133877389,629,1324879453,1109,844647093,815,1305650206,1075,1608204645,3,62,47,86,88,33,23,16,42,57,41,20,78,Moderate
35,sbNAn,PENGURUS PARPOL,1,25,1,770000,2350000,2850000,7,5,0,0,0,418,2982653410,657,669467563,1460,140777068,1383,54767862,2370,986609570,1223,2048769594,238,1769049291,1578,712197034,82,74,82,13,0,27,33,16,56,28,80,49,4,Moderate
36,fLAcz,JAKSA AGUNG,6,42,6,4900000,3130000,8760000,0,0,0,0,0,2478,2833869237,1199,2189359556,661,2316146714,1409,23700453,2487,781469661,881,997269096,799,633029800,2159,2010914911,68,29,9,42,30,9,100,93,9,91,79,43,31,Not Potential
37,Cyhsv,PENGUSAHA/ WIRASWASTA,3,24,3,4770000,240000,8980000,0,0,0,0,0,2281,661965814,484,2891616761,1544,2111152178,444,475892690,1402,1257657039,1682,299153344,486,749636933,2256,2367681279,91,54,88,35,95,35,82,85,83,1,87,95,36,Not Potential
38,NuoxN,PEGAWAI BI/BUMN/BUMD(PENSIUN),4,47,4,3050000,1820000,6270000,0,0,0,0,0,1757,1053705703,338,1579358935,2465,1337331726,1344,1856515881,1057,623470889,864,1131639585,1811,2335438645,536,2849804382,73,55,35,73,86,98,40,91,59,64,9,56,86,Not Potential
39,ZtPXg,PROFESIONAL & KONSULTAN,4,47,4,4530000,70000,6220000,0,0,0,0,0,681,685787915,2052,709937325,186,2387179522,933,52086245,553,1904954413,707,3402366,2450,2710829794,751,1609903664,64,8,71,98,36,41,89,98,45,90,20,23,83,Not Potential
40,gPHuB,PENGURUS PARPOL,4,16,4,4580000,1690000,2380000,0,0,0,0,0,30,2931574998,789,1373206794,916,2480327856,1894,1468036461,324,2923492156,426,913053537,1280,2748570203,2122,970275948,32,28,83,0,21,94,0,67,73,20,82,78,28,Not Potential
41,rdokX,KELUARGA PEJABAT,6,21,6,3160000,2360000,830000,0,0,0,0,0,1409,2973384009,312,317341650,898,1554220763,755,896445747,909,759022651,622,960166584,1089,1585599232,1389,1404983482,6,66,86,53,3,55,76,88,35,61,24,94,47,Not Potential
42,jMYiQ,LAIN-LAIN,1,21,1,4180000,3550000,5440000,0,0,0,0,0,26,653973676,170,2116949120,2114,1849860878,2233,1432374684,1799,1098157055,2398,2159192698,71,2980303569,1459,1121727731,47,67,23,87,20,26,99,3,37,5,88,62,10,Not Potential
43,tqHGp,PERUSAHAAN SWASTA ASING,2,15,2,10000,1900000,1210000,3,3,2,1,0,2103,2381581599,1071,65811397,2485,2868244903,1877,1711529339,1156,971381617,249,2729629815,784,2940596187,996,225486544,45,44,22,29,23,68,72,99,95,16,44,68,24,Moderate
44,rArKB,PEGAWAI BANK,4,43,4,4880000,1500000,8470000,0,0,0,0,0,2412,450347477,1793,421672319,1431,1410928634,1427,363383543,2110,2271081881,1329,2872772977,2482,993084606,812,2886922180,30,27,85,25,23,94,51,1,92,17,68,14,52,Not Potential
45,RXNLo,PETANI & NELAYAN,1,36,1,430000,2830000,3390000,8,3,1,0,0,1399,2604280001,919,1733626882,2138,1834913189,2082,470710177,983,2190542214,2009,1363936279,636,25093310,396,364089044,89,70,62,77,33,17,0,18,85,54,18,71,97,Moderate
46,XlQnQ,PERUSAHAAN SWASTA,3,26,3,4510000,1390000,130000,0,0,0,0,0,305,1915878516,374,2666543830,703,1117388370,773,1306662907,1360,1785126731,816,2591010145,900,92907508,967,1858073619,72,64,47,98,62,45,94,17,11,63,99,66,53,Not Potential
47,gpEhX,PEDAGANG,3,12,3,3120000,2810000,790000,0,0,0,0,0,237,117944594,1553,939412565,1193,1113619716,421,2253042200,1329,1335897792,1629,1825674467,538,2612498485,589,2803739451,60,72,4,89,50,78,9,93,26,89,57,52,57,Not Potential
48,gTkQc,JAKSA AGUNG,7,6,7,3990000,2200000,3950000,0,0,0,0,0,2473,236827105,1206,769092605,1524,2458445152,261,284230336,1655,765945220,1381,1284295953,670,276154499,2341,2134257284,25,15,31,64,84,60,46,52,44,51,91,57,8,Not Potential
49,TQqJJ,PENYELENGGARA NEGARA ASING,5,44,5,3650000,3480000,5820000,0,0,0,0,0,16,2759183818,981,2490492225,2282,2125314063,925,1816787095,658,2802644818,924,953452882,854,2571815402,1872,1088352161,87,93,17,28,90,95,39,32,5,87,87,52,85,Not Potential
50,YQkbH,JAKSA AGUNG,6,29,6,4430000,3710000,7200000,0,0,0,0,0,628,207134759,1215,771990891,1825,2018078989,1452,2636566628,831,1419239930,2328,653826144,939,1657061047,994,2807431269,17,62,10,81,60,45,87,84,83,53,55,77,75,Not Potential
51,jcOPI,PERUSAHAAN SWASTA,7,29,7,3270000,1720000,3330000,0,0,0,0,0,752,2770996614,1877,2309563343,1354,644352623,1802,1837949669,479,1158332707,1500,1043697297,76,2147065831,1272,1601172823,34,10,73,55,56,43,10,49,16,84,17,83,2,Not Potential
52,tcyoq,PEJABAT LEMB.EKS.& PEMERINTAH,4,47,4,570000,2060000,2560000,7,4,1,0,0,777,2639929767,2129,1504294823,125,2338114622,2376,2525472158,1214,1838424082,343,2566703338,57,877473428,253,1581457526,4,30,79,5,77,29,85,84,69,27,100,59,38,Moderate
53,FiZJc,PERUSAHAAN PEMERINTAH,4,34,4,3050000,3440000,8760000,0,0,0,0,0,2327,1105429673,2035,1827207477,1257,1625155044,904,790645521,2302,1418309875,459,2500704892,1010,1372367668,321,1126190767,76,18,7,53,23,8,72,47,25,41,61,41,67,Not Potential
54,zwEBH,IBU RUMAH TANGGA,5,40,5,3360000,2630000,3820000,0,0,0,0,0,1746,2829975522,1173,958102295,1305,804873231,12,1230332293,2030,1650109835,1063,1719652341,1491,2186448100,2343,868714357,39,75,62,0,30,87,3,33,51,25,12,82,50,Not Potential
55,PIJtD,PEGAWAI MONER CHANGER,3,5,3,2140000,1970000,560000,6,2,2,1,1,1311,1370281303,314,716931197,369,462587843,1237,108655789,1229,681907429,589,1313830964,2110,1352114624,926,740091902,89,22,6,84,93,75,33,37,99,58,86,93,92,Moderate
56,NnJlm,KELUARGA PEJABAT,7,11,7,610000,1800000,1860000,6,3,2,1,0,540,24655879,1974,2618309393,804,982154690,1161,2296049424,1826,1602768728,254,206656737,1085,113643146,201,208901958,28,55,36,61,43,96,22,28,30,39,41,14,12,Moderate
57,PWEBW,PELAJAR/MAHASISWA,3,48,3,2130000,3960000,540000,5,5,2,0,0,414,1074504285,1759,2014982956,261,2590404476,1306,1715477257,2355,1751213047,1707,2917728392,730,1450178178,1439,988823301,95,91,97,2,71,9,81,68,26,35,16,37,34,Moderate
58,wjqTT,PNS (TERMASUK PENSIUNAN ),3,50,3,3400000,3410000,6220000,0,0,0,0,0,209,1592453112,965,1216594194,198,150171971,749,1014432404,1475,2573246100,1795,174503496,1152,1703849019,1708,2237580219,93,16,9,17,9,36,51,20,34,96,54,96,77,Not Potential
59,KyXNn,PENGAJAR & DOSEN,2,9,2,790000,2250000,8340000,6,2,2,2,0,265,751780550,1802,2228868397,1547,184213538,347,1649460275,58,2925581439,68,1329538456,1831,1177636973,1200,778876969,7,24,37,71,62,8,22,37,70,26,12,59,90,Moderate
60,pCzKJ,PENGURUS PARPOL,1,17,1,1580000,1290000,7550000,6,3,2,1,0,481,1311409030,1100,2377316897,2077,1404289552,533,2762521048,1597,448951362,502,2370075487,2391,2121856933,1134,1098567087,87,40,12,42,97,41,6,84,47,27,79,63,85,Moderate
61,aDDer,PENYELENGGARA NEGARA ASING,3,8,3,2830000,2590000,3010000,5,4,3,0,0,919,967280826,2109,1330825574,2400,2818044063,1813,980630288,1920,610522351,270,71689452,589,1716667032,1798,960990567,64,46,53,96,57,78,86,40,54,33,30,67,5,Moderate
62,JBdOR,PENGURUS PARPOL,7,18,7,2570000,1950000,6710000,5,1,1,1,0,2286,1007260716,965,2576099465,2048,1339533269,833,1353148255,922,914300595,2109,336159700,553,616045288,1767,2085255013,10,85,13,71,70,64,18,88,100,0,70,89,35,Moderate
63,GbjFJ,PENGRAJIN,2,35,2,360000,1630000,7890000,4,4,3,1,0,1155,2838357521,1430,2905301455,182,2382894277,2324,1674984437,1367,2606549377,738,1717706243,1355,1319072491,1949,1294343174,70,80,56,38,31,92,21,82,15,78,80,89,52,Moderate
64,eZkMc,PENGURUS PARPOL,5,15,5,1100000,1820000,6330000,6,5,1,0,0,2088,2052226328,361,1047046670,1038,721083389,1599,2510322150,1938,2198176375,1819,1528693232,2362,2024387057,2100,2776387752,13,59,87,36,65,98,22,64,56,83,60,42,78,Moderate
65,HZgLq,ULAMA/PENDETA/PIM.ORG/KL.AGAMA,4,6,4,3430000,3480000,5210000,0,0,0,0,0,2437,2626346069,1770,2593378485,1696,506193745,321,218202514,1839,2294575211,525,871325974,2448,37902632,2127,1154202501,26,54,51,60,85,59,61,98,13,24,57,94,61,Not Potential
66,SxAXl,PENGRAJIN,2,35,2,420000,3860000,2140000,5,4,3,0,0,1379,2662793232,1704,2493655061,926,1961420036,461,2374735624,457,1164338199,2175,197125696,1979,2760844401,1210,813010173,86,47,36,70,23,17,68,94,22,67,59,67,93,Moderate
67,xdKCk,TNI/POLRI (TERMASUK PENSIUNAN),4,44,4,4590000,3370000,4470000,0,0,0,0,0,660,1302737901,1880,2558992322,2185,932413694,1963,2459459988,2269,1073567112,1978,2251309379,1151,2204295060,447,1107369080,65,56,77,19,90,90,4,58,29,47,1,40,71,Not Potential
68,JeXpo,PEGAWAI BI/BUMN/BUMD(PENSIUN),2,8,2,1840000,2060000,6930000,5,4,2,1,0,1796,791306066,1962,1835169624,1824,113551627,2344,1677642642,1795,1774448052,1794,2438998873,1804,2261481990,1067,2181200737,81,72,16,69,93,28,32,83,24,5,35,99,93,Moderate
69,nTceb,PEJABAT LEMB.EKS.& PEMERINTAH,2,16,2,1420000,1480000,8510000,8,3,1,0,0,1553,26477209,1297,2285279159,167,2349567947,465,1664956676,1239,2952470022,1371,1012097943,1983,1471309884,228,1783622397,73,98,4,26,47,17,92,22,36,83,8,46,28,Moderate
70,vGzPT,PROFESIONAL & KONSULTAN,6,30,6,3440000,1450000,1870000,0,0,0,0,0,623,493409310,2202,877456606,2173,657624990,1809,2026222429,1330,2802626630,1743,1182115314,839,843946565,57,2527896654,82,96,70,47,11,8,14,8,20,84,23,72,33,Not Potential
71,Nxuii,PEJABAT LEMB.EKS.& PEMERINTAH,2,35,2,3420000,1800000,7110000,0,0,0,0,0,676,2646199783,507,276532872,1844,2599441396,1959,46774906,1685,1775705798,1998,945955405,143,548990973,488,1525412596,25,67,42,73,44,90,77,24,10,65,49,71,19,Not Potential
72,bxAIb,JAKSA AGUNG,2,44,2,2180000,970000,6440000,5,5,2,0,0,1754,868322132,811,414584837,22,2209452843,2379,1688850012,1361,946126430,2208,2293874647,705,1924986461,2438,1770327132,38,32,4,26,38,11,36,53,8,35,36,59,20,Moderate
73,RVQTT,PENGURUS/PEG.YYS/LEMBAGA LAIN.,5,37,5,3240000,2680000,9080000,0,0,0,0,0,1876,2500682840,1662,452622327,1271,798982246,1846,581570779,1262,1506983089,1368,1970315035,1711,2544178603,1863,321099245,52,30,1,41,51,27,74,6,86,46,52,99,15,Not Potential
74,cfPes,PENGUSAHA/ WIRASWASTA,7,9,7,1250000,170000,7000000,8,3,0,0,0,946,2336758527,214,1040172623,2224,959852108,2466,800413516,1052,2322167594,1386,1294902165,1228,2455139008,670,283956717,95,52,31,4,6,47,21,39,12,40,79,99,44,Moderate
75,QJOQu,IBU RUMAH TANGGA,3,48,3,3190000,370000,5540000,0,0,0,0,0,730,2797410121,468,1829374219,636,2151100272,1069,2267354444,426,258657216,1941,2081892360,352,2424819949,1699,2263422751,68,20,42,89,62,7,85,28,80,34,65,73,100,Not Potential
76,kdsRj,IBU RUMAH TANGGA,2,42,2,2130000,1590000,7560000,5,4,3,0,0,27,1197057517,2360,563876181,2341,238669348,2145,2228391190,23,1019727513,2354,1896370191,800,64267804,2119,1761773558,84,27,96,94,79,33,16,33,45,65,64,26,14,Moderate
77,yCtmf,PENYELENGGARA NEGARA ASING,3,19,3,950000,2550000,6190000,8,3,1,0,0,1619,2476482795,1871,1140272451,1601,2489358737,1957,2732109936,672,1759063488,2140,82279741,1920,1769744091,1069,1858976912,52,26,72,22,68,34,17,2,9,71,55,31,35,Moderate
78,pHQJl,TNI/POLRI (TERMASUK PENSIUNAN),6,47,6,590000,1740000,50000,8,2,2,0,0,1305,1013169344,1762,604023357,2195,415696965,1046,1871694425,629,1618087244,1469,232161942,1517,320365200,2050,1002691358,24,72,56,47,7,31,54,80,10,45,13,30,97,Moderate
79,VNKKs,JAKSA AGUNG,7,40,7,1940000,2490000,5260000,6,4,2,0,0,828,1755356863,1277,249094900,2498,2275683666,937,1455880833,242,2341825915,1900,1609140373,1017,877257161,522,1700666459,46,3,45,62,2,42,95,26,44,51,46,100,43,Moderate
80,bPaTD,PEGAWAI BI/BUMN/BUMD(PENSIUN),5,40,5,560000,2140000,6500000,6,5,1,0,0,667,374013112,2342,2383583259,10,1034236659,668,2025799816,1233,178546733,1352,2510026304,851,1615001966,1235,2136934483,27,3,11,9,75,84,13,99,44,99,17,22,79,Moderate
81,YtyiV,PERUSAHAAN SWASTA ASING,2,36,2,1540000,3370000,7710000,6,3,3,0,0,94,2205799357,1647,2630318316,1858,1359141499,2246,1783644551,2400,1551524099,1949,376839752,953,1472245621,434,316529244,98,71,82,62,36,93,82,78,87,91,56,96,100,Moderate
82,lYoJL,PENGURUS/PEG.YYS/LEMBAGA LAIN.,5,32,5,2070000,1200000,3680000,7,5,0,0,0,2243,1479125732,1376,1467326152,1967,1132298901,1247,2510120157,100,1044253931,1423,890526147,1800,1455356218,1687,2036353229,69,10,37,39,99,49,78,62,40,38,14,24,93,Moderate
83,UDtPF,PEDAGANG,3,32,3,830000,530000,6570000,6,4,2,0,0,1975,323029187,1072,843487900,2393,2782452280,975,1556912222,2159,2651869403,929,1660025194,74,1724254260,1112,385060204,64,54,82,28,55,50,87,2,69,64,23,96,80,Moderate
84,eQNmb,PENYELENGGARA NEGARA ASING,1,9,1,1640000,570000,2680000,6,5,1,0,0,984,1634987960,2147,2513641642,2460,2036608495,793,2141118900,2181,2897075895,1853,1950706958,565,1489852777,1460,1806164444,79,75,51,21,99,7,49,34,11,94,92,52,39,Moderate
85,TcVss,JAKSA AGUNG,5,9,5,2420000,230000,9820000,4,4,2,2,0,1527,237361016,309,1003837751,472,1863321738,171,563165769,2017,2974835200,1173,2912286610,1080,724820680,2399,1579196185,62,3,16,85,26,76,49,42,60,38,39,74,45,Moderate
86,CJICu,TNI/POLRI (TERMASUK PENSIUNAN),2,43,2,300000,3200000,8290000,6,5,1,0,0,2050,1062702176,419,766774521,120,596426022,2158,341246660,1209,1221789815,135,526895550,799,2543034147,1877,2549466131,85,32,56,85,41,44,99,23,41,65,50,6,81,Moderate
87,faWng,LAIN-LAIN,5,48,5,960000,2920000,7760000,5,4,3,0,0,72,1857662511,554,1454856822,466,1153459067,1290,2157949702,2275,561102363,451,292378005,608,2596149255,649,981002233,89,72,29,82,13,100,31,55,45,6,99,63,94,Moderate
88,tvTpm,PERUSAHAAN SWASTA,3,5,3,4930000,1290000,3730000,0,0,0,0,0,725,2379046672,827,1083098089,1265,2924572179,658,2074269983,2017,1148457529,995,590747525,977,1850976420,1185,961405336,54,57,47,59,99,31,72,100,55,96,23,71,95,Potential
89,qFcrr,KELUARGA PEJABAT,7,5,7,4830000,1090000,3050000,0,0,0,0,0,397,946493635,1842,1681613947,337,1297214197,955,732562665,1788,159697435,2437,366711947,24,1331650477,219,1961112527,36,13,65,82,32,32,6,22,98,64,34,66,0,Not Potential
90,LKtLN,ULAMA/PENDETA/PIM.ORG/KL.AGAMA,1,5,1,990000,620000,3750000,7,3,2,0,0,1766,2890451181,1265,759288810,196,1362806830,2256,1807523094,2061,1769893891,67,2048771218,2105,1708711208,2410,2316785250,61,99,92,81,46,79,70,37,91,42,13,81,32,Moderate
91,fnoJH,PENGAJAR & DOSEN,6,48,6,1520000,3750000,4970000,8,4,0,0,0,1353,524270217,866,911395644,2484,1159810893,709,1430935907,925,2292012761,962,718849025,611,2362306139,1648,424860188,19,11,100,88,34,7,22,52,15,93,46,78,44,Moderate
92,rpNKu,JAKSA AGUNG,3,8,3,900000,1840000,2920000,5,5,1,1,0,791,720188224,1254,168258737,429,2837447300,537,2347775080,2469,636925496,2483,2647253600,2180,1681098515,894,2535547439,54,17,17,9,31,20,35,69,69,68,3,69,54,Moderate
93,kuKlW,PETANI & NELAYAN,4,37,4,4270000,3770000,6990000,0,0,0,0,0,638,82237391,1943,2322686592,506,75671151,1196,2270379505,1009,1399629411,1964,2372328625,542,624046129,1661,2807280220,50,86,99,61,62,90,28,61,96,16,59,18,87,Not Potential
94,undrw,IBU RUMAH TANGGA,4,26,4,3890000,580000,8340000,0,0,0,0,0,995,2612917937,608,2480539358,1595,984488750,1366,602438057,388,2843587535,2110,2942714343,1076,1702512978,1049,613211691,96,49,32,84,94,28,87,9,73,29,100,60,64,Not Potential
95,jfLoV,PENGAJAR & DOSEN,4,30,4,1710000,3830000,9090000,7,3,2,0,0,97,1023784237,616,2554717770,1643,1795417870,2187,2473795923,1104,639585908,2005,2461564998,2294,1159743658,324,2478672844,13,32,6,8,96,66,18,17,46,9,36,48,43,Moderate
